ID,Currency,Impact,title,Forecast,Previous,Actual,timeofevent,positive
330,EUR,2,Flash GDP q/q,0.60%,0.20%,0.90%,07/2/13 5:00,1
331,USD,1,NFIB Small Business Index,,96.5,98.9,07/2/13 7:30,0
332,CAD,2,Trade Balance,4.7B,4.7B,5.0B,07/2/13 8:30,1
333,USD,1,IBD/TIPP Economic Optimism,54,53.7,52.7,07/2/13 10:00,1
334,NZD,1,FPI m/m,,-0.50%,1.40%,07/2/13 16:45,1
335,AUD,1,Westpac Consumer Sentiment,,7.30%,1.70%,07/2/13 18:30,1
336,JPY,1,Current Account,2.01T,1.95T,1.87T,07/2/13 18:50,1
337,CNY,2,CPI y/y,2.70%,2.80%,2.20%,07/2/13 21:00,-1
338,JPY,1,Revised Industrial Production m/m,0.70%,0.70%,0.90%,07/2/13 23:30,1
339,CNY,1,Foreign Direct Investment ytd/y,,4.20%,13.80%,07/2/14 1:25,1
340,GBP,3,Claimant Count Change,-5.0K,-5.5K,-13.5K,07/2/14 4:30,-1
341,EUR,1,German 10-y Bond Auction,,3.94|1.8,4.11|1.8,07/2/14 5:10,1
342,GBP,3,BOE Gov King Speaks,,,,07/2/14 5:30,1
343,CAD,1,New Motor Vehicle Sales m/m,5.00%,3.40%,5.60%,07/2/14 8:30,1
344,USD,3,Fed Chairman Bernanke Testifies,,,,07/2/14 10:00,1
345,USD,1,Crude Oil Inventories,1.0M,-0.4M,-0.6M,07/2/14 10:30,1
346,AUD,1,MI Inflation Expectations,,3.50%,3.20%,07/2/14 16:30,1
347,NZD,3,Core Retail Sales m/m,0.20%,-0.10%,0.20%,07/2/14 16:45,1
348,NZD,1,BusinessNZ Manufacturing Index,,54.3,56,07/2/14 18:00,1
349,JPY,3,Prelim GDP q/q,0.90%,0.10%,1.20%,07/2/14 18:50,1
350,GBP,2,RICS House Price Balance,34%,37%,28%,07/2/14 19:01,0
351,AUD,1,HPI q/q,1.80%,2.10%,0.90%,07/2/14 19:30,1
352,GBP,3,Retail Sales m/m,0.20%,1.10%,-1.80%,07/2/15 4:30,1
353,CHF,2,Credit Suisse Economic Expectations,,-10.8,-17.3,07/2/15 5:00,1
354,EUR,2,ECB President Trichet Speaks,,,,07/2/15 6:00,-1
355,CAD,2,Manufacturing Sales m/m,0.60%,2.40%,1.70%,07/2/15 8:30,1
356,USD,3,TIC Long-Term Purchases,60.0B,84.9B,15.6B,07/2/15 9:00,1
357,USD,2,Capacity Utilization Rate,81.80%,81.80%,81.20%,07/2/15 9:15,1
358,USD,3,Fed Chairman Bernanke Testifies,,,,07/2/15 10:00,1
359,CAD,1,BOC Review,,,,07/2/15 10:30,1
360,USD,2,Philly Fed Manufacturing Index,3.5,8.3,0.6,07/2/15 12:00,1
361,USD,1,NAHB Housing Market Index,35,35,40,07/2/15 13:00,1
362,JPY,2,Tertiary Industry Activity m/m,-0.10%,0.00%,-0.40%,07/2/15 18:50,1
363,EUR,1,German Final CPI m/m,-0.20%,-0.20%,-0.20%,07/2/16 2:00,1
364,EUR,2,French Prelim Private Payrolls q/q,0.20%,0.20%,0.20%,07/2/16 2:45,1
365,CHF,2,Retail Sales y/y,2.50%,3.30%,0.80%,07/2/16 3:15,1
366,EUR,1,Italian Trade Balance,-0.20B,-0.93B,-0.59B,07/2/16 4:00,1
367,EUR,1,Trade Balance,3.2B,4.4B,0.7B,07/2/16 5:00,1
368,USD,3,PPI m/m,-0.60%,0.90%,-0.60%,07/2/16 8:30,1
369,USD,3,Prelim UoM Consumer Sentiment,96.5,96.9,93.3,07/2/16 10:00,1
370,CNY,0,Bank Holiday,,,,07/2/18 19:00,1
371,GBP,1,Rightmove HPI m/m,,0.50%,0.90%,07/2/18 19:01,1
372,EUR,2,German Buba Monthly Report,,,,07/2/19 6:00,1
373,USD,0,Bank Holiday,,,,2007-2-19 All Day,1
374,CAD,2,Foreign Securities Purchases,3.89B,11.14B,-3.26B,07/2/19 8:30,1
375,CNY,0,Bank Holiday,,,,2007-2-19 All Day,1
376,EUR,1,German PPI m/m,0.10%,0.00%,0.00%,07/2/20 2:00,1
377,CHF,2,Trade Balance,0.75B,0.41B,1.27B,07/2/20 2:15,1
378,CHF,2,PPI m/m,-0.10%,0.00%,-0.20%,07/2/20 3:15,1
379,GBP,1,M4 Money Supply m/m,0.80%,0.90%,0.90%,07/2/20 4:30,1
380,CAD,3,Core CPI m/m,0.10%,-0.20%,0.10%,07/2/20 7:00,1
381,CAD,1,Gov Council Member Jenkins Speaks,,,,07/2/20 7:30,1
382,CAD,1,Leading Index m/m,0.40%,0.20%,0.50%,07/2/20 8:30,1
383,AUD,2,RBA Gov Stevens Speaks,,,,07/2/20 18:00,0
384,AUD,1,MI Leading Index m/m,,0.50%,0.60%,07/2/20 18:30,1
385,CNY,0,Bank Holiday,,,,2007-2-20 All Day,1
386,AUD,1,New Motor Vehicle Sales m/m,,1.40%,5.30%,07/2/20 19:30,1
387,JPY,3,Overnight Call Rate,0.25%,0.25%,0.50%,07/2/20 23:00,1
388,JPY,1,BOJ Monthly Report,,,,07/2/21 1:00,-1
389,JPY,3,BOJ Press Conference,,,,07/2/21 1:30,1
390,EUR,1,French Final CPI m/m,-0.30%,0.20%,-0.40%,07/2/21 2:45,1
391,GBP,2,MPC Member Bean Speaks,,,,07/2/21 3:00,-1
392,EUR,1,Current Account,-1.2B,0.9B,2.3B,07/2/21 4:00,1
393,GBP,3,MPC Official Bank Rate Votes,1-0-8,5-0-4,2-0-7,07/2/21 4:30,1
394,GBP,2,CBI Industrial Order Expectations,-8,-9,4,07/2/21 6:00,1
395,CAD,3,Core Retail Sales m/m,0.70%,0.20%,2.00%,07/2/21 8:30,1
396,USD,1,CB Leading Index m/m,0.20%,0.60%,0.10%,07/2/21 10:00,1
397,USD,2,FOMC Member Kohn Speaks,,,,07/2/21 13:00,1
398,USD,3,FOMC Meeting Minutes,,,,07/2/21 14:00,1
399,JPY,1,Trade Balance,0.75T,0.71T,1.09T,07/2/21 18:50,-1
400,CNY,0,Bank Holiday,,,,2007-2-21 All Day,1
401,NZD,1,Credit Card Spending y/y,,9.90%,6.70%,07/2/21 20:00,1
402,EUR,1,German Final GDP q/q,0.90%,0.90%,0.90%,07/2/22 2:00,1
403,CHF,2,Employment Level,3.69M,3.70M,3.70M,07/2/22 3:15,1
404,EUR,1,Italian Retail Sales m/m,0.10%,0.30%,0.00%,07/2/22 4:00,1
405,GBP,2,Prelim Business Investment q/q,1.30%,3.10%,3.30%,07/2/22 4:30,1
406,EUR,2,Industrial New Orders m/m,0.20%,1.10%,2.80%,07/2/22 5:00,1
407,GBP,1,10-y Bond Auction,,4.57|2.2,4.90|2.2,07/2/22 5:49,1
408,CAD,2,Gov Council Member Kennedy Speaks,,,,07/2/22 7:30,1
409,CAD,1,Corporate Profits q/q,,2.80%,1.50%,07/2/22 8:30,1
410,EUR,2,Belgian NBB Business Climate,2.2,2.1,3.5,07/2/22 9:00,1
411,USD,1,Crude Oil Inventories,1.0M,-0.6M,3.7M,07/2/22 10:30,1
412,AUD,1,CB Leading Index m/m,,0.50%,0.20%,07/2/22 18:00,1
413,JPY,1,All Industries Activity m/m,0.00%,-0.20%,0.00%,07/2/22 18:50,1
414,CNY,0,Bank Holiday,,,,2007-2-22 All Day,1
415,EUR,1,French Consumer Spending m/m,0.20%,1.20%,1.20%,07/2/23 2:45,1
416,EUR,3,German ifo Business Climate,107.5,107.9,107,07/2/23 4:00,1
417,GBP,3,Second Estimate GDP q/q,0.80%,0.80%,0.80%,07/2/23 4:30,1
418,NZD,3,Trade Balance,-652M,-352M,-833M,07/2/25 16:45,1
419,JPY,2,Monetary Policy Meeting Minutes,,,,07/2/25 18:50,1
420,NZD,2,ANZ Business Confidence,,-7.7,-5.9,07/2/25 19:00,1
421,NZD,3,Inflation Expectations q/q,,2.73%,2.56%,07/2/25 21:00,1
422,EUR,1,German GfK Consumer Climate,4.7,4.9,4.4,07/2/26 2:00,1
423,EUR,1,Eurogroup Meetings,,,,2007-2-26 All Day,1
424,GBP,2,MPC Member Blanchflower Speaks,,,,07/2/26 12:30,1
425,AUD,2,HIA New Home Sales m/m,,6.00%,5.80%,07/2/26 20:00,1
426,EUR,2,German Prelim CPI m/m,0.50%,-0.20%,0.40%,2007-2-27 All Day,1
427,EUR,1,German Import Prices m/m,-0.20%,-0.30%,-0.70%,07/2/27 2:00,1
428,CHF,2,UBS Consumption Indicator,,1.9,1.95,07/2/27 4:00,1
429,EUR,1,ECOFIN Meetings,,,,2007-2-27 All Day,1
430,GBP,2,High Street Lending,,45.5K,37.8K,07/2/27 4:30,1
431,EUR,1,Italian 10-y Bond Auction,,4.29|1.3,4.14|1.6,07/2/27 5:17,1
432,USD,3,Core Durable Goods Orders m/m,-0.20%,2.60%,-3.10%,07/2/27 8:30,1
433,USD,1,S&P/CS Composite-20 HPI y/y,0.90%,1.80%,0.50%,07/2/27 9:00,1
434,USD,3,CB Consumer Confidence,109,110.2,112.5,07/2/27 10:00,1
435,NZD,2,Building Consents m/m,,-4.90%,3.90%,07/2/27 16:45,1
436,JPY,1,Final Manufacturing PMI,,53.4,53,07/2/27 18:30,1
437,JPY,2,Prelim Industrial Production m/m,-1.80%,0.90%,-1.50%,07/2/27 18:50,1
438,AUD,2,Construction Work Done q/q,1.50%,-2.10%,4.30%,07/2/27 19:30,1
439,JPY,1,Housing Starts y/y,4.50%,10.20%,-0.70%,07/2/28 0:00,1
440,GBP,2,Nationwide HPI m/m,0.50%,0.30%,0.70%,07/2/28 2:00,1
441,EUR,2,German Unemployment Change,-78K,-70K,-69K,07/2/28 3:55,-1
442,EUR,1,Consumer Confidence,-6,-7,-5,07/2/28 5:00,1
443,CHF,2,KOF Economic Barometer,1.7,1.74,1.79,07/2/28 5:30,1
444,USD,1,FOMC Member Kohn Speaks,,,,07/2/28 7:30,1
445,USD,3,Prelim GDP q/q,2.40%,3.50%,2.20%,07/2/28 8:30,1
446,USD,2,FOMC Member Geithner Speaks,,,,07/2/28 8:55,1
447,EUR,3,ECB President Trichet Speaks,,,,07/2/28 9:00,1
448,USD,2,Chicago PMI,50,48.8,47.9,07/2/28 9:45,-1
449,USD,3,Fed Chairman Bernanke Testifies,,,,07/2/28 10:00,1
450,USD,1,Crude Oil Inventories,2.1M,3.7M,1.4M,07/2/28 10:30,1
451,NZD,1,Visitor Arrivals m/m,,-1.50%,-3.20%,07/2/28 16:45,1
452,AUD,1,AIG Manufacturing Index,,51.3,57.7,07/2/28 17:30,1
453,AUD,3,Private Capital Expenditure q/q,2.90%,-5.30%,-0.20%,07/2/28 19:30,1
454,CNY,2,Caixin Manufacturing PMI,,52,53,07/2/28 21:30,1
455,JPY,1,10-y Bond Auction,,1.70|2.8,1.67|3.9,07/2/28 22:45,1
456,AUD,2,Commodity Prices y/y,,9.60%,8.10%,07/3/1 0:30,1
457,EUR,1,Spanish Manufacturing PMI,,56.2,56.2,07/3/1 3:15,1
458,CHF,2,Manufacturing PMI,62,62,63.5,07/3/1 3:30,1
459,EUR,1,Italian Manufacturing PMI,53.9,53.5,54.2,07/3/1 3:45,1
460,EUR,2,Final Manufacturing PMI,55.7,55.5,55.6,07/3/1 4:00,1
461,GBP,2,Final Manufacturing PMI,53,53.2,55.4,07/3/1 4:30,1
462,EUR,1,CPI Flash Estimate y/y,1.90%,1.90%,1.80%,07/3/1 5:00,1
463,EUR,1,French 10-y Bond Auction,,4.12|2.8,4.01|2.3,07/3/1 5:10,1
464,GBP,2,CBI Realized Sales,22,30,19,07/3/1 6:00,1
465,USD,1,Challenger Job Cuts y/y,,-39.10%,-3.90%,07/3/1 7:30,1
466,CAD,2,Current Account,6.0B,5.8B,3.0B,07/3/1 8:30,1
467,USD,1,Natural Gas Storage,-142B,-223B,-132B,07/3/1 9:30,1
468,USD,3,ISM Manufacturing PMI,50,49.3,52.3,07/3/1 10:00,1
469,USD,1,Total Vehicle Sales,16.2M,16.6M,16.6M,2007-3-1 All Day,1
470,USD,1,Treasury Sec Paulson Speaks,,,,07/3/1 12:00,1
471,JPY,2,Tokyo Core CPI y/y,0.10%,0.20%,0.00%,07/3/1 18:30,1
472,JPY,1,Monetary Base y/y,-21.50%,-21.10%,-21.10%,07/3/1 18:50,1
473,AUD,3,Retail Sales m/m,0.50%,0.20%,0.90%,07/3/1 19:30,1
474,CNY,3,Manufacturing PMI,,55.1,53.1,07/3/1 20:00,1
475,JPY,1,Average Cash Earnings y/y,0.30%,-0.10%,-1.40%,07/3/1 20:30,1
476,EUR,2,German Retail Sales m/m,-1.30%,2.60%,-5.10%,07/3/2 2:00,1
477,EUR,1,Spanish Unemployment Change,,59.6K,-7.2K,07/3/2 3:00,1
478,GBP,1,Construction PMI,57,57.9,57.3,07/3/2 4:30,1
479,EUR,1,PPI m/m,0.30%,0.00%,0.10%,07/3/2 5:00,0
480,CAD,3,GDP m/m,0.30%,0.30%,0.40%,07/3/2 8:30,1
481,USD,2,Revised UoM Consumer Sentiment,94,93.3,91.3,07/3/2 10:00,-1
482,CNY,1,Non-Manufacturing PMI,,55.6,49.7,07/3/2 20:00,1
483,USD,2,Fed Chairman Bernanke Speaks,,,,07/3/2 23:00,1
484,AUD,1,AIG Services Index,,49.5,54.5,07/3/4 17:30,1
485,AUD,1,MI Inflation Gauge m/m,,0.00%,0.20%,07/3/4 18:30,1
486,JPY,2,Capital Spending q/y,13.50%,12.00%,16.80%,07/3/4 18:50,1
487,AUD,1,Company Operating Profits q/q,2.40%,0.50%,2.50%,07/3/4 19:30,1
488,EUR,1,Spanish Services PMI,,57.9,56.7,07/3/5 3:15,1
489,EUR,1,Italian Services PMI,55.6,55.4,56.2,07/3/5 3:45,1
490,EUR,1,Final Services PMI,57.6,57.9,57.5,07/3/5 4:00,1
491,EUR,1,Sentix Investor Confidence,29.3,31.1,27.5,07/3/5 4:30,1
492,USD,2,FOMC Member Kroszner Speaks,,,,07/3/5 9:00,1
493,CAD,3,Ivey PMI,55.2,53.8,60.5,07/3/5 10:00,1
494,USD,2,FOMC Member Warsh Speaks,,,,07/3/5 14:00,1
495,AUD,3,Building Approvals m/m,0.50%,-1.80%,-0.90%,07/3/5 19:30,1
496,CHF,2,GDP q/q,0.70%,0.40%,0.50%,07/3/6 1:45,1
497,CHF,1,Foreign Currency Reserves,,45B,45B,07/3/6 3:00,1
498,EUR,1,Retail Sales m/m,-0.30%,0.30%,-1.00%,07/3/6 5:00,1
499,GBP,2,BRC Retail Sales Monitor y/y,,3.10%,3.30%,07/3/6 6:00,-1
500,CAD,2,Building Permits m/m,2.10%,-9.00%,11.30%,07/3/6 8:30,1
501,CAD,3,BOC Rate Statement,,,,07/3/6 9:00,1
502,USD,3,Pending Home Sales m/m,-2.20%,4.50%,-4.10%,07/3/6 10:00,0
503,USD,3,Fed Chairman Bernanke Speaks,,,,07/3/6 14:00,-1
504,AUD,3,Cash Rate,6.25%,6.25%,6.25%,07/3/6 17:30,1
505,GBP,1,Nationwide Consumer Confidence,82,84,85,07/3/6 19:01,1
506,AUD,2,RBA Assist Gov Edey Speaks,,,,07/3/6 19:10,-1
507,AUD,3,GDP q/q,0.50%,0.30%,1.00%,07/3/6 19:30,1
508,NZD,1,ANZ Commodity Prices m/m,,1.30%,1.60%,07/3/6 22:00,-1
509,JPY,1,Leading Indicators,35.00%,31.80%,35.00%,07/3/7 0:00,0
510,CHF,1,Unemployment Rate,3.00%,3.00%,3.00%,07/3/7 1:45,0
511,GBP,1,BRC Shop Price Index y/y,,1.80%,1.80%,07/3/7 5:30,1
512,EUR,2,German Factory Orders m/m,0.40%,0.70%,-1.00%,07/3/7 6:00,1
513,USD,2,ADP Non-Farm Employment Change,100K,121K,57K,07/3/7 8:15,0
514,USD,1,Crude Oil Inventories,1.8M,1.4M,-4.8M,07/3/7 10:30,0
515,USD,2,Beige Book,,,,07/3/7 14:00,1
516,NZD,3,Official Cash Rate,7.50%,7.25%,7.50%,07/3/7 15:00,0
517,NZD,1,Overseas Trade Index q/q,3.20%,-2.20%,2.40%,07/3/7 16:45,0
518,JPY,1,Bank Lending y/y,,1.70%,1.30%,07/3/7 18:50,1
519,JPY,1,Prelim Machine Tool Orders y/y,,6.00%,15.90%,07/3/8 1:00,1
520,CHF,3,CPI m/m,0.30%,-0.70%,0.20%,07/3/8 1:45,1
521,JPY,1,Economy Watchers Sentiment,47.8,47.2,49.2,07/3/8 2:00,0
522,EUR,1,French Gov Budget Balance,,-36.2B,-5.5B,07/3/8 2:45,0
523,GBP,3,Halifax HPI m/m,0.50%,1.40%,1.80%,07/3/8 3:00,1
524,EUR,2,German Industrial Production m/m,0.30%,0.10%,1.90%,07/3/8 6:00,0
525,GBP,3,Official Bank Rate,5.25%,5.25%,5.25%,07/3/8 7:00,0
526,EUR,3,Main Refinancing Rate,3.75%,3.50%,3.75%,07/3/8 7:45,0
527,CAD,3,Housing Starts,214K,249K,196K,07/3/8 8:15,0
528,CAD,1,NHPI m/m,0.30%,0.00%,0.30%,07/3/8 8:30,0
529,USD,1,Natural Gas Storage,-100B,-132B,-102B,07/3/8 9:30,1
530,JPY,2,Core Machinery Orders m/m,1.80%,-0.70%,3.90%,07/3/8 18:50,1
531,EUR,1,German Trade Balance,14.3B,14.8B,15.8B,07/3/9 2:00,1
532,EUR,2,French Industrial Production m/m,0.10%,1.00%,-0.30%,07/3/9 2:45,1
533,GBP,3,Manufacturing Production m/m,0.20%,0.20%,-0.20%,07/3/9 4:30,1
534,CAD,3,Employment Change,8.0K,89.0K,14.0K,07/3/9 7:00,1
535,CAD,3,Trade Balance,4.8B,5.0B,6.3B,07/3/9 8:30,-1
536,USD,1,Final Wholesale Inventories m/m,0.00%,-0.50%,0.70%,07/3/9 10:00,1
537,USD,2,FOMC Member Kohn Speaks,,,,07/3/9 13:30,1
538,USD,2,FOMC Member Kroszner Speaks,,,,07/3/9 15:30,1
539,GBP,1,NIESR GDP Estimate,,0.70%,0.50%,07/3/9 18:01,1
540,CAD,0,Daylight Saving Time Shift,,,,07/3/11 3:00,1
541,NZD,1,FPI m/m,,1.40%,0.10%,07/3/11 17:45,1
542,JPY,2,Final GDP q/q,1.30%,1.20%,1.30%,07/3/11 19:50,1
543,AUD,2,Home Loans m/m,0.90%,0.30%,0.30%,07/3/11 20:30,1
544,CNY,2,New Loans,,568B,414B,07/3/11 22:00,1
545,JPY,1,Consumer Confidence,48.2,48.1,48.4,07/3/12 1:00,1
546,CNY,3,USD-Denominated Trade Balance,7.3B,15.9B,23.8B,07/3/12 2:50,1
547,EUR,1,Italian Industrial Production m/m,-0.50%,1.40%,-1.40%,07/3/12 5:00,1
548,GBP,3,PPI Input m/m,0.80%,-2.50%,1.30%,07/3/12 5:30,1
549,CAD,2,Labor Productivity q/q,-0.40%,0.00%,0.30%,07/3/12 8:30,1
550,USD,2,FOMC Member Kroszner Speaks,,,,07/3/12 12:45,1
551,USD,2,Federal Budget Balance,-123.0B,38.2B,-120.0B,07/3/12 15:00,1
552,NZD,3,Core Retail Sales m/m,0.60%,0.00%,1.00%,07/3/12 17:45,1
553,GBP,2,RICS House Price Balance,24%,28%,24%,07/3/12 20:01,1
554,AUD,2,ANZ Job Advertisements m/m,,-0.10%,3.40%,07/3/12 20:30,1
555,CNY,2,CPI y/y,2.90%,2.20%,2.70%,07/3/12 22:00,1
556,CNY,1,Foreign Direct Investment ytd/y,,13.80%,13.00%,07/3/12 22:30,1
557,GBP,3,Goods Trade Balance,-7.0B,-7.0B,-6.2B,07/3/13 5:30,1
558,EUR,2,German ZEW Economic Sentiment,3.1,2.9,5.8,07/3/13 6:00,1
559,USD,3,Core Retail Sales m/m,0.30%,0.20%,-0.10%,07/3/13 8:30,1
560,USD,2,Business Inventories m/m,0.10%,0.00%,0.20%,07/3/13 10:00,1
561,USD,2,Mortgage Delinquencies,,4.67%,4.95%,07/3/13 11:00,1
562,GBP,1,CB Leading Index m/m,,0.10%,0.30%,07/3/13 11:30,1
563,USD,2,10-y Bond Auction,,4.74|2.4,4.52|2.6,07/3/13 14:00,-1
564,NZD,1,Manufacturing Sales q/q,,2.70%,-2.20%,07/3/13 17:45,1
565,AUD,1,Westpac Consumer Sentiment,,1.70%,3.70%,07/3/13 19:30,1
566,CNY,1,Retail Sales y/y,14.90%,14.60%,14.70%,07/3/13 22:00,1
567,JPY,1,Revised Industrial Production m/m,-1.50%,-1.50%,-1.70%,07/3/14 0:30,1
568,EUR,1,French Final CPI m/m,0.40%,-0.40%,0.20%,07/3/14 3:45,1
569,GBP,3,Claimant Count Change,-8.0K,-13.3K,-3.8K,07/3/14 5:30,1
570,CHF,2,Credit Suisse Economic Expectations,,-17.3,-28,07/3/14 6:00,1
571,CAD,1,Capacity Utilization Rate,83.70%,83.40%,82.50%,07/3/14 8:30,1
572,USD,1,Crude Oil Inventories,2.0M,-4.8M,1.1M,07/3/14 10:30,1
573,EUR,2,ECB President Trichet Speaks,,,,07/3/14 14:00,1
574,NZD,2,RBNZ Gov Bollard Speaks,,,,07/3/14 14:30,1
575,AUD,1,MI Inflation Expectations,,3.20%,3.20%,07/3/14 19:30,1
576,AUD,3,Employment Change,14.5K,-4.8K,22.0K,07/3/14 20:30,1
577,EUR,2,German Buba President Weber Speaks,,,,07/3/15 2:00,1
578,EUR,1,French Final Private Payrolls q/q,0.20%,0.20%,0.20%,07/3/15 3:45,1
579,All,2,OPEC Meetings,,,,2007-3-15 All Day,1
580,GBP,2,Consumer Inflation Expectations,,2.70%,2.70%,07/3/15 5:30,1
581,EUR,2,ECB Monthly Bulletin,,,,07/3/15 6:00,1
582,EUR,1,Spanish 10-y Bond Auction,,4.10|2.3,3.96|2.5,07/3/15 6:42,1
583,GBP,2,MPC Member Sentance Speaks,,,,07/3/15 8:00,1
584,CAD,2,Manufacturing Sales m/m,-0.70%,2.10%,-2.10%,07/3/15 8:30,0
585,CHF,3,Libor Rate,2.25%,2.00%,2.25%,07/3/15 9:00,1
586,USD,1,Natural Gas Storage,-118B,-102B,-115B,07/3/15 10:30,1
587,USD,2,Philly Fed Manufacturing Index,4,0.6,0.2,07/3/15 12:00,1
588,NZD,1,BusinessNZ Manufacturing Index,,55.8,53.9,07/3/15 19:00,1
589,JPY,2,Tertiary Industry Activity m/m,1.00%,-0.40%,1.60%,07/3/15 19:50,1
590,AUD,2,RBA Assist Gov Edey Speaks,,,,07/3/15 20:25,1
591,CNY,2,Fixed Asset Investment ytd/y,24.00%,24.50%,23.40%,07/3/15 22:00,1
592,EUR,1,Italian Trade Balance,-2.50B,-0.83B,-3.68B,07/3/16 5:00,1
593,CHF,2,Retail Sales y/y,2.30%,0.80%,5.10%,07/3/16 5:15,1
594,USD,3,CPI y/y,2.30%,2.10%,2.40%,07/3/16 8:30,1
595,USD,2,Capacity Utilization Rate,81.30%,81.40%,82.00%,07/3/16 9:15,1
596,USD,3,Prelim UoM Consumer Sentiment,90,91.3,88.8,07/3/16 10:00,1
597,NZD,0,Daylight Saving Time Shift,,,,07/3/17 10:00,1
598,GBP,1,BOE Quarterly Bulletin,,,,07/3/18 20:01,1
599,CHF,2,Industrial Production q/q,3.50%,-0.50%,7.80%,07/3/19 4:15,-1
600,CAD,2,Foreign Securities Purchases,1.34B,-3.05B,-3.76B,07/3/19 8:30,1
601,USD,1,NAHB Housing Market Index,38,39,36,07/3/19 13:00,1
602,CAD,2,Annual Budget Release,,,,07/3/19 17:00,1
603,NZD,1,Visitor Arrivals m/m,,-3.00%,6.50%,07/3/19 18:45,1
604,AUD,1,Housing Starts q/q,-0.60%,0.10%,-0.80%,07/3/19 20:30,1
605,JPY,2,Overnight Call Rate,0.50%,0.50%,0.50%,07/3/19 23:00,1
606,JPY,1,BOJ Monthly Report,,,,07/3/20 2:00,1
607,JPY,3,BOJ Press Conference,,,,07/3/20 2:27,1
608,EUR,1,German PPI m/m,0.30%,0.00%,0.30%,07/3/20 3:00,1
609,CHF,2,PPI m/m,0.10%,-0.20%,0.30%,07/3/20 4:15,1
610,GBP,3,CPI y/y,2.70%,2.70%,2.80%,07/3/20 5:30,-1
611,CAD,3,Core CPI m/m,0.20%,0.10%,0.50%,07/3/20 7:00,1
612,USD,2,Building Permits,1.55M,1.57M,1.53M,07/3/20 8:30,1
613,GBP,2,MPC Member Barker Speaks,,,,07/3/20 15:25,1
614,AUD,1,MI Leading Index m/m,,0.50%,0.10%,07/3/20 19:30,1
615,JPY,0,Bank Holiday,,,,2007-3-20 All Day,1
616,AUD,1,New Motor Vehicle Sales m/m,,5.20%,0.00%,07/3/20 20:30,1
617,NZD,1,Credit Card Spending y/y,,6.70%,8.20%,07/3/20 23:00,1
618,CHF,2,Trade Balance,1.01B,1.29B,1.38B,07/3/21 3:15,1
619,EUR,3,ECB President Trichet Speaks,,,,07/3/21 4:00,1
620,EUR,1,Italian Quarterly Unemployment Rate,6.70%,6.90%,6.50%,07/3/21 5:00,1
621,GBP,3,MPC Official Bank Rate Votes,2-0-7,2-0-7,00/1/8,07/3/21 5:30,1
622,CAD,3,Core Retail Sales m/m,0.40%,1.90%,0.30%,07/3/21 8:30,1
623,USD,1,Crude Oil Inventories,1.0M,1.1M,3.9M,07/3/21 10:30,1
624,USD,3,FOMC Statement,,,,07/3/21 14:15,1
625,JPY,2,BSI Manufacturing Index,6,7.1,0.1,07/3/21 19:50,1
626,GBP,3,Retail Sales m/m,0.60%,-1.50%,1.40%,07/3/22 5:30,1
627,EUR,2,Industrial New Orders m/m,-1.00%,1.80%,-0.20%,07/3/22 6:00,1
628,GBP,2,CBI Industrial Order Expectations,6,4,8,07/3/22 7:00,1
629,CAD,1,Gov Council Member Jenkins Speaks,,,,07/3/22 8:30,1
630,EUR,2,Belgian NBB Business Climate,2.9,3.5,1.4,07/3/22 10:00,1
631,USD,1,Natural Gas Storage,-1B,-115B,17B,07/3/22 10:30,1
632,USD,2,FOMC Member Kroszner Speaks,,,,07/3/22 12:00,1
633,USD,2,FOMC Member Kohn Speaks,,,,07/3/22 13:30,1
634,AUD,1,CB Leading Index m/m,,0.20%,-0.20%,07/3/22 19:00,1
635,JPY,1,All Industries Activity m/m,0.70%,0.00%,0.70%,07/3/22 19:50,1
636,AUD,2,RBA Financial Stability Review,,,,07/3/22 20:30,1
637,EUR,1,German Import Prices m/m,0.40%,-0.70%,0.50%,07/3/23 3:00,1
638,EUR,1,French Consumer Spending m/m,-0.60%,1.00%,-0.40%,07/3/23 3:45,1
639,EUR,1,Current Account,2.5B,2.0B,2.7B,07/3/23 5:00,1
640,USD,3,Existing Home Sales,6.34M,6.44M,6.69M,07/3/23 10:00,0
641,USD,2,FOMC Member Geithner Speaks,,,,07/3/23 11:30,0
642,USD,2,FOMC Member Mishkin Speaks,,,,07/3/23 22:15,1
643,AUD,0,Daylight Saving Time Shift,,,,07/3/24 12:00,0
644,CHF,0,Daylight Saving Time Shift,,,,07/3/24 22:00,1
645,NZD,3,Trade Balance,-252M,-831M,-127M,07/3/25 18:45,1
646,JPY,2,Monetary Policy Meeting Minutes,,,,07/3/25 19:50,1
647,CNY,3,Industrial Production y/y,15.00%,14.70%,18.50%,07/3/25 22:00,1
648,EUR,1,Eurogroup Meetings,,,,2007-3-26 All Day,-1
649,EUR,2,German Buba Monthly Report,,,,07/3/26 6:00,1
650,GBP,2,MPC Member Gieve Speaks,,,,07/3/26 6:30,1
651,USD,3,New Home Sales,985K,882K,848K,07/3/26 10:00,1
652,JPY,1,SPPI y/y,0.60%,0.60%,0.40%,07/3/26 19:50,1
653,AUD,2,HIA New Home Sales m/m,,5.80%,2.90%,07/3/26 22:00,1
654,CHF,2,UBS Consumption Indicator,,1.95,2.03,07/3/27 4:00,1
655,EUR,1,ECOFIN Meetings,,,,2007-3-27 All Day,1
656,GBP,2,High Street Lending,,42.8K,54.7K,07/3/27 4:30,1
